Arabic_text,ar:manual_sentiment,ar:manual_confidence
كل يلي بيحرك العالم هلأ هم اليهود ونحنا قاعدين وراضيين بكل الاحتيالات ,Negative,0.9237
الوسيط أنت فارس الكلمة وجزاك الله ألف خيراً على هالموضوع أنت مواضيعك طيبه مثلك للعلها في ميزان أعمالك عبدالله وبس ، عملاق القمة المتواضع  ,Positive,1
بس بوعدكن أنو اكون صديقة للجمعية .. ,Positive,1
كنت امرق من عشر سنين لهلق قدام هالسيارة ,Negative,0.3988
وانت نقلت القصيده بقى الاعتراض اكيد مو عليك او شي ,Negative,0.3988
وانتا مش عارف اصلا كيف عاملينها وشو حاطين فيها .. ,Negative,0.8082
شكلي رح اقلب على الخط مسبق الدفع .. ,Neutral,0.4652
شي مو طبيعي ضغطي ارتفع من الحكي الي كاتبينو فعلا حثاله الي عامل هاد البيج ... حسبنا الله ونعم الوكيل ,Negative,1
ممم ممم حضور فطور إي ليش لأ بنحضر أخي أنا حضور وممكن جيب معي إختي إخواتي بنات خالتي بنات عمتي بنات الجيران إي ما علينا  ,Positive,0.5962
يعني تفوقنا على المصريين بهالمجال ... ,Positive,0.701
لاتقلي على الشباب عن جد مومعئولين يعني بدنا نضحك ولانزعل ولا شو ؟؟  ,Negative,0.5135
من اراد ان يتزوج على الطريقة الشرعية فهنيئا له من كل قلبي ,Positive,1
اذا حب يتكحل يتكحل وين المشكلة ,Positive,0.4541
أتعس لحظات بعيشها هاي اللحظات ,Negative,1
الله يبعد عن الطائفية ,Positive,0.6058
ولكو ايش هالموضوع القديم طلع غبره ,Negative,0.7347
يعني لو نحنا هيدي الـ«لو» ما بطيقها ,Negative,1
الكويت بلد نحترمه ونقدرها اعتقد النظام المعفن اللى فيها نظام بال عليه الزمن زى اللى عندنا بالظبط داهيه تاخدهم هما الاتنين  ,Negative,0.8185
يعطيك العافيه اول ما شفت الصور استغربت اول مره اشوفهن وارتحت انا مو بس انا اللي ما يعرفهن على العموم بالعااافيه  ,Positive,0.6954
هاااي علا الامورة شايفة كيف اكيد ياقمر انو كل الي اسمون علا ظراف وحبوبين ولطاف وبجنننو ,Positive,1
ويتفش البك براحتك بدون خجل ,Positive,0.712
وينظف البيئه ,Positive,0.6987
«3:» ليش بصلتك محروقة ودايما مستعجلة في الحكم على الاخرين ؟ ,Negative,1
ههه لك ياظالم كل هيدي الصفات فيي وأنا ماعندي خبر ههه ,Negative,0.5032
عم بمزح معكون اصحكون تزعلو ... ,Positive,0.3458
على حب البلد ونظافتها باغلاق المحلات لأيام وغرامة مالية ,Positive,0.3112
أنا بصراحة ما بتابع الفضائية السورية برامجها ما بتشد ,Negative,0.9036
بس عارف حالو غشيم لذلك بيسكت وبيسدّ بوزو وما بيحكي لحتى ما يفضح حالو ,Negative,0.8966
ايـــ ه دنيا عجيبة غريبة تكفنوني على هل الشغلة ,Negative,0.7194
لا يغني عن معالجة اخلاقية للسلوكيات الخيانية لدى العديد من اطراف هالحرب . ,Negative,0.912
لا نهر و لا بطيخ نحن للأسف ما ممكن نصير خلق ,Negative,1
"رجاءا ما تدخلو عليها وتغلبو حالكم وتنزلو شتم .. ",Negative,0.8991
و نصير نتفرّج كيف عم يندكّ ,Negative,0.8181
يعطيك العافية جورية عندي فكرة اذا حدا عندو موشحات اواناشيد يحطها في المنتدى ,Positive,0.8227
هل اصبح الضحك حقاً قناعاً نواجه به الأشخاص ... ,Negative,0.9032
وفيها اماكن خرج تنزار . ,Positive,0.7165
وأيضاً إن طلق الزوج زوجته طلاق الثلاث كأن يقول لها أنت طالق ثلاثاً ، ,Neutral,0.7306
الحمد لله انو ما ولد بالعراق ,Negative,0.7061
"بس بتعرفو انه خلص صرنا اصدقاء ",Positive,1
إذا مفكر حالك حضاري فاحترم قانون السير ,Negative,0.8639
اففف احم مبروك اي والله بتستاهل ,Positive,1
وهدا الشي يمكن عمنلمسو هلق اكتر من قبل ,Neutral,0.4959
أهلا فيك نونو شرفت وتكرم عيونك هي أحلى ئطعة كاتو وكاسة عصير كرمالك يا غالي ,Positive,1
و بنعمل عرسنا بمنتدى شباب لك أنا مع الأخ «voodoo» بكلامه ، ,Positive,0.8353
يابختهم صحبات ماما  ,Positive,0.7373
أنا ذهلت شو يعني يخلع نيعك ؟؟؟ ,Negative,0.8008
"و على كل حال اكيد هلء الايميلات عندكم رح تمتلىء من المعجبين مو هيك ؟؟؟ ",Positive,0.8053
وليس من اجل كلام الناس والبورظه ,Negative,0.507
صبري وحتسبي إذا كنتي بتحبي ,Positive,0.6347
كل عام وانتم بالف خير ,Positive,1
الحياة حلوة بس نفهمها ..  ,Positive,1
"انتبهو يا عالم سرقه الاعضاء متفشيه صارت بالبلد و عم يوم عليها اطباء معروفين فلا تامنو بالاطباء بسوريا بشكل عمياني ",Negative,0.9127
لك هاتو مفاتيحها لنعمل فتلة بالعريس «dr.fox» ,Positive,0.7259
يعني ما بدها كتيير تعليق واضحة ,Neutral,0.4019
راح ينجح ,Positive,1
واللي تسكت تستاهل .. ,Negative,0.8959
وبتعسف عليك ضبوها هل سيرة بقا وحلنا نعرف كيف نسامح بعض ما حلنا ؟؟ حلنا !! ,Negative,0.5465
بلأسلحه المحظوره و القتل و القصف و الجنود المحبطين يلي بدهم يلاقوا متنفث لهم ,Negative,0.7961
"وليس لكيفية قضاء يومه ومايفعله بحياته الخاصة ",Neutral,0.5997
تعرفت على الموقع عن طريق كاميليا صديقتي . هوه انا كنت بعرف قمر لبنان من قبل بس انقطعت علاقتنا فتلرة تقريبا سنه بعدين رجعنا اجتمعنااا هوون ,Positive,0.4636
و محاولة دفاع عقيمة عن النفس بإنو عمبحاول يترك مدخل محلو مفتوح ,Negative,0.7596
عم يحذرك من نادي الشريرات شو عامليلك نحنا ... ,Negative,0.6385
ليك عيني المجتمع بلا تفكير هو المجتمع اليتيم ,Negative,0.9121
بعد ناقصهن نلعب معن لعبة البروباغندا و الاعلام الحربي ,Negative,0.9198
ما رح اطول بالحكي بس عنجد اشتقنالهم ولوجودهم معنا الاخ دارك فايروس قال عمالقة اصدو انهم عمالقة بحضورهم ومكانتهم بيننا  ,Positive,0.6389
يقووول بحرووور ان كلمة مبروك غلط لغويا ,Neutral,0.5052
بل بظن انهم ورود ممكن يستخدموا اشواكهم وقت الضرورة ,Negative,0.8014
«1-» يا ريت تكبروا مساحة النادي الرياضي و قاعات الايروبيك ,Positive,0.4967
"دخيلك ما فيها شيء و انا مستغرب انه في شاب حتى الان هو بتول . ",Negative,0.5146
"انشاء الله تكمل معنا وما نصير متلك ",Positive,0.5845
"لاء ومابدا العالم تفهما غلط يخزل العين عنا اييي دنيا كل واحد بيعبر بطريقتو ",Positive,0.6
بس المهم أنته ما تتغير وتبقى مخلص ,Positive,0.8991
انا بقول انو جامعة الازهر فاشلة  ,Negative,1
بجد هيك موضوع معقد ,Negative,0.8995
البلد كلو بدو نفض من فوق لتحت مو بس شوارع .. ,Negative,1
محمود .. انا ممكن اجاوبك ع سؤال اللي موجه لنغم .. ,Neutral,0.598
والله انك من الاساتذة فيه والله لا يحرمنا من مشاركاتك . ,Positive,1
ونتمنى اللحقه الجاي تكون فيها اكشن أكتر من هيك ,Negative,0.401
ويوم ميلاد سعيد انشاللله وسلااامييي ابئا تزكريني ملاك هه يوم ميلادي ,Positive,1
و فعلا الواحد بأوقات معينة بيحتاج لأنو يسرح بهالكون ويتأمل فيه ,Positive,0.8012
وخلص وعد علي لادخل كل يوم واعيلك  ,Positive,0.6878
اذا عصبي منشان ما تاكلي قتلة . ,Negative,0.8242
النت برأيي انا وسيلة للتعارف والتسلية ,Positive,0.5986
يعني الثقافة الجنسية أبدا مانا عيب او حرام ,Positive,0.513
إنو منشان الله بدنا نرتاح جايين من سفر ,Negative,0.7024
انت واختي الي مابحسن اقول اسمها وبحبها كتير ,Positive,0.8993
يعني بنكون ربحانين القضية او ربحانين من في اسهم الشركة بعد ما نطرحها للإكتتاب العام منظمة حقوق الانسان تقول « يقتل حوالي ٨٠٠ عراقي سني شهرياعلى ايدي وزارة الداخلية العراقية وثلثيهما تبدوا عليهم اثار التعذيب» ,Negative,0.8026
ياترى بالصيف لو فكرنا نطلع شئ رحله كم باص بدنا ,Positive,0.5929
بس المصيبة انه انا لو نمت قيلولة مابتصير ,Negative,0.7303
بس على فكرة للي عم بيقولو خلوه يسترزق يا اخي ماشي ما ختلفنا يسترزق ,Negative,0.6375
الا اذا كان خارج عن دين الاسلام او غير مسلم مع احترامي لباقي الاديان ، ,Positive,0.4969
بكفي أنك بتنزل الساعة ٣ بوجه الصبح بتلاقيها معجوقة ,Negative,0.7423
شكرا يا عيون الله يعطيكي العافية ,Positive,1
ياستار يا ستار بالتابوت بحط الحوت ,Negative,0.7027
أنها انسرقت بالحج بس وين بالضبط والله ما بعرف ، ,Negative,0.9047
بقى تنظير بشرفك ... ,Negative,0.6998
ولسا ما تزوجو عادي بتسمع كتير سمعات بس انت ,Negative,0.3699
من حقها تخاف لما تشوف شي جديد وتبكي لما تتوجع ,Negative,0.8117
وضاع فيها ومات فقلت خلينا نألف نهاية اكتر منطقية .. ,Negative,0.5061
اشتاق الك بالامس واليوم مشتاق وبكرة اذا شفتك بيزيد اشتاقي ,Positive,0.8018
والله حزنتيني على هالبسس ... بس مهما يكون أنا ما بحب البسس و مستحيييل أدخل بسة عالبيت ههه ...  ,Negative,0.6998
و تحياتي ليلي بيحبوا شوكلاته ,Positive,1
ممكن سؤال ليش دخلتي جامعة الازهر مادامها فاشلة ؟؟ .. ,Negative,0.9055
فبئسأً لهيك أشبله الرجال ولمشاريعهن ,Negative,0.9052
كافي هاد الدليل برأيك للتعميم ... ,Neutral,0.4594
والي عملو هاد ناتج تماما عن اخلاقو لا ناتج عن مغريات ولا عن رعب ,Negative,0.8969
إي نعم عش رجبا تر عجبا هي الأركيلة صارت موضة ... ,Negative,0.703
بتعرفو وين المشكلة المشكلة انو الناس اخدين الموضوع مسخرة ,Negative,1
"وكان موضوع لكل الاعضاء سواء من رواد الحكي المرتب ومن باقي الاقسام ",Positive,0.7109
عنجد القصة كتير مهضومة ,Positive,0.7985
الله يزيدك من نعمه كمان وكمان ,Positive,1
لك شايفتللك طارق أفندي أنو مناسباتك كترانة هاليومين !!! ,Negative,0.4132
كتي يعني صح لسا انا هلأ لسا فئت من النوم ومامصحصح لسا ,Neutral,0.7334
اللي بلا طعمة عالقليلة بتحس المعد فهمان شو القصة ... ,Negative,0.463
ليش تغيريه ؟ اتركيه لشو السؤال ، ,Negative,0.6362
في الموضوع ان ممكن يكون اللبس بوقت معين حلو ومناسب وراقي ,Positive,1
وما بتعرف شو يعني نظافة ,Negative,0.8055
لو كان الحب كلمات تكتب لأنفذت احباري .. ,Positive,0.8141
وبرضو مجتمعنا ما بقبل هيك شى ... مجتمع ما برحم ... ,Negative,0.9091
واحد بجم مابيفهم ويبدو ان ذلك يعود لاصلها البدوي !!! ,Negative,1
و انشالله بتمنالك هيك عسكرية حلوة و ممتعة ,Positive,0.8985
وبعدين مين قلك اني مارجعت لبلدي وعملت مشروع فيها ونجحت وانا لبلدي ,Positive,0.6994
ألف مبروك وحمدالله عالسلامة بس لسا موبايل زعبور بيغنيلك ,Positive,0.8236
ما بتوفي يعني بتخسر معن يعن أنترررنيت مع كل المواقع المحجوبة وبأحلى السرعات والأسعار ,Positive,0.4668
الا و لازم فتش عالحشرات .. ,Negative,0.5858
بس الرحلة دي شي تاني خالص .. رحت العمر .. روحة بلا رجعة بنسبة «99.99%» ,Positive,0.5075
من وجهة نظري .. متل ما بتعطي بتاخد .. ولكل قاعده شواذ !!!  ,Neutral,0.3626
وتحققي الدعوى الي دعيتلك اياها ,Positive,1
راسي صار يوجعني ,Negative,1
وكن شجاع وتعال نتناقش ... ,Positive,0.4567
،قومي خدي من الجيبة خمس وعشرين ليرة . ,Neutral,0.5452
لك السياح هنيك كل يوم بالعشرات يا جماعة هي قبلة للسياح .. ,Positive,0.7967
ليش هو فرحان انو ماتت بعد ما طلعت عيونه لاتجوز ... ,Negative,0.9053
وأكتر شي عجبني الصالة رقم ٢ ؟؟؟ حزرو ليش ؟؟؟ ,Positive,0.8139
ال «Default Gatewaty» وبضل اعمل ريبير لحتى يمشي الحال ,Positive,0.5929
شكرا على هاللفتة الكريمة ... ,Positive,1
بعد ما كانو ياكلو بايديهم ,Negative,0.8992
ههه خليني انا مجنووونة وخليكم نايمين ...  ,Negative,0.2967
لابل حتى هذا النوع يفضل الايتزوج على الاطلاق ,Negative,0.7036
والناس هي عم تتحرش فيكم فرنسا و بلجيكا وكل دول العالم هي عم تتحرش فيكم ,Negative,0.908
بس أحلى سؤال بتحب تاكل البوظة بالصيف ؟؟؟ ... ,Positive,0.6329
برجع بقلك أهلاً وسهلاً وننتظر مشاركاتك الفعالة أسامة ,Positive,1
الا اذا ما كان اليوم هو اليوم الصحيح لعيد ميلادك . ,Neutral,0.6057
أنوووس مو تكرم عينك وهي الموالح وعلب البيبسي صاروا جاهزين ... ,Positive,0.8356
ههه يعني طريقتك الساخرة بتضحك بس بصراحة شي بينبكى عليه الله يهدي الجميع بس عمو وين الفئة المعتدله بالموضوع ولا مابقي منون هدول ؟؟؟  ,Negative,0.5488
لأنن بالسعودية ورح تتطبق بحقهم عقوبات عديدة ,Negative,0.8108
ويروح لحالو لانو سيران ونكد يعني مطرح ما ... شنقوا ... ,Negative,1
شباب دائم طلعتيلي روحي و ما كنت أعرف شو المفاجأة  ,Positive,0.4921
وكُلُواْ وَاشْرَبُواْ وَلاَ تُسْرِفُواْ إِنَّهُ لاَ يُحِبُّ الْمُسْرِفِينَ «31» ,Positive,0.6038
والله انا شايف لو المحافظ انسان عادل ... ,Negative,0.5963
بس بدو قول للي كتير فرحانين بالتكريم العظيم للطلبة الاوائل ,Positive,1
بعدين اخي اقرا مو ضوع مشكلة عائلية معقدة بتهون عليك مشاكلك ,Positive,0.3717
عشاان عندي ملفاات كثيير بالمحكمة يووم السبت ,Neutral,0.6109
والبنت اذا تنفست بيقتلوها ؟؟؟ ,Negative,1
بتعرف انه يا ريتهم يلتزموا بحديث الرسول عليه السلام واذا بليتم فاستتروا .. ,Positive,0.4542
وفعلا لبنان صارت بلد منكوبة بالتفجيرات والاغتيالات يلى بصير فيها ,Negative,1
"بس أهم شئ عندي الأشياء الثمينة اللي موجودة فية ",Neutral,0.5444
تفكر ابعد من هيك يا صديقي احسن ما تندم يوم من الايام ,Negative,0.7022
انو فكرك لو صدر هالكلام على لسان شي وزير مسلم كان رح تكون ريحتو غير ؟ ,Negative,0.8021
إلا أن يثبت أنها زوجتة فقط فهنى ,Neutral,0.3682
أم الأوقات يلي بعيشها مع يلي بحبهم ,Positive,0.9126
لاسباب تتعلق بظواهر طبيعية !!! بقا ليش مستغربين !!! ,Negative,0.5983
بس لسا مو مغطية كل المناطق ، لساها فترة تجريبية بركي بتزبط و بتشموا ريحة باطكن شوي ,Positive,0.4526
بدي عيد على جوز رفيقتي ابو زهزهز ,Positive,1
و ما تسألوني ادي عمرو لاني ما بعرف ,Negative,0.6378
تحياتي للجميع و لسفارة سورياعلى الانترنت « شبابلك » ,Positive,1
و لوقتها انشالله بكون اتعلمت الدبكي مظبوط حتى ندبك بعرسك للصبح ,Positive,0.9041
مو لأنه خاين لأنه هو أكبر حرامي هو وولاده ,Negative,0.908
بس ملاحظة للأخ «sooon» شريك ... مشاركتك اجت لهون بالغلط ... ياريت تنقلها لمكانها بس شكلها حلوة  ,Negative,0.3712
في اطيب من الشاورما ، ,Positive,0.8384
بس ماعليش خيرها بغيرها والبركة في الموجودين وخطوة ,Positive,0.7996
يعني يمكن لو حادثة فرديّة، بيتعلّم صاحبها من كيسه، ,Negative,0.3972
يعني برايكن مين يلي بيخالف ,Negative,0.5039
ياترى وين كنتو وقت كانو عم يركبوها ؟ اكيد ماركبوها بساعتين مو ؟؟؟ ,Negative,0.5126
صبييّ فايقة من النوم بكير ,Neutral,0.4656
يعني مافيها شي مميز ولا هي شغله نادره عنا بالبلد ههه فكرت في شي جديد ,Negative,0.804
ولا تعمليلك مصيبة ,Negative,0.9122
مارلبوروا أحمر جتان التقيل وينستون دفيدوف دنهل ,Neutral,0.5923
وليليليليليليليلششش اويها وطبخنا محشي اويها وعبينا كرشي ,Neutral,0.372
"إهاه خلي هالأجواء تتعطر شوي ... ",Positive,0.8094
و الهم هودي اللي نسيو حلهن سبقتهم السنين هودي مش هني صحابو ,Negative,0.7271
والله ازا في مجال لفنجان قهوة تركية وبدون سكر بكون ممنوك كتير تعــو نحكي وندردش بالفلسطيني ههه على فكرة عجبتني كلمة متجليين زمااان ما اسمعتها بس منك زي العسل ,Positive,1
"انا يا سيدي كنت عم اقرا بدليل الصفحات الصفراء فشفت اعلان لموقع الكرة السورية ولما رحت عالموقع شفت اعلان شبابلك ... شكرا لاهتمامك اخي وسيم  ",Positive,0.4619
أنو تكون هاملة بيتها وملتفتها لشغلها ... ,Negative,0.8083
بس المشكله انو ما يكون بحب بطنو كتير ,Negative,0.6495
انشالله كل ايامك اعياد ويبئى ئلبك دافي متل الكستنايات اللي وزعتيلنا هن بكل المناسبات ,Positive,1
رح قلك جوابي هون بيكون مميزز بردودك الي بتلجم ... ,Positive,0.5063
كل واحد بقول عن حالو حمساوي بكون عميل وحقير ,Negative,1
حاكم على كوع ركن الكوكتيل حاطين دورية ,Negative,0.5443
هية للمسؤولين اللي حضروا والأصوات العالية والضجة كمان ,Negative,0.6073
بس المشكلة انه في ايدي كبيره عمتدخل مازوت على الشام تحديدا ,Negative,0.819
بروحوا على الدكتور طب المرض هو من حكمة الله ,Neutral,0.5081
"وباعتزالك ولاعزاء لهم ",Negative,0.6387
اول شي الجلد بحقو والتهجير من البلد ,Negative,1
و من قلبي بشكرك موون ,Positive,1
وهي بتضل امنية ياريت ياريت تلبيلنا هالامنية ,Positive,0.6498
"رجاء اللي بيعرف مصدر هالأحاديث يسعفنا وأنا له من الشاكرين  ",Positive,0.8948
ودمت ودام ابداعك حروفك ,Positive,1
أهلا بك في ضيعتنا ... ,Positive,0.8994
بشك انو في حدا بيستخدم الانترنت هون و فورا بمل و بيعصب ... ,Negative,0.7994
ومتل ما قلت احدى الاخوات تحاول مرتو تقعد جنبو وتطلب منو ان تتفرج معو لما بيدخل هيك مواقع ,Negative,0.4586
لأنك عاطل وخسيس و ندل وماشي على مبدأ أظن بالناس كما أظن بنفسي ,Negative,1
"أهلااا بأخي الحبيب أمير العييين يعني نحنا الاعضاء العاديين مالنا معنيين بالموضوع ومع هاااد كلووو اهلااا وسهلا فيك أميرووو أخوك الغضب سلااام  ",Positive,0.828
على فكرة لابئلك هالاسم !! كتير لزيز ,Positive,0.9239
انا كتير معجب بالفكرة حتة قبل ما تنطرح ,Positive,1
كنت رح فوت بالحيط أنا كمان ! ,Negative,0.6191
شباب بس يبدؤوا البث كلكم تاعو إدام الكاميرا مشان أشوفكم مو ، ,Neutral,0.6006
شكرا كتير على هالاستراحة الحلوة لازمنا بعض الترفيه بس مع نفس معسل بحريني وقهوة سادة على كيفك مشان ناخد اول ونبلش  ,Positive,1
وللجميع يلي بعد ما عرف حنااا يتعرف وما بيندم ,Positive,0.7993
وأروع شعور ,Positive,1
وانجاز انهن وفروا ٣ مليارات ، ,Positive,0.9028
اللي يجاوب يقول بصراحة ... ,Positive,0.6083
و عقبال ماتخبرنا انك راجع ... ,Positive,0.7349
هي أنا جبت الكاتو واجيت وين القعدة خينا رشيد ، ,Positive,0.7995
«بتضحك» ... و«بتبيع» ... ,Neutral,0.3454
بيتصلو فيني الأهل عالموبايل ... ,Neutral,0.5133
احنا عنا شوارع للمشاة و أرصفة للسيارات حيث نادرا ما يتم استخدام الرصيف للمشي ... ,Negative,0.6485
عنجد مو ضوعك حلووو كتير ,Positive,1
"السلام عليكم احلى جورية ... دايما بتغمرينا بالبك الكبير الف سلامة لبشار ٩٩ وانشاء الله ربنا بيعافيه وبيرجع للمنتدى متل اول واحسن سماااح  ",Positive,1
"و بكل عضو عم يدخل على منتدانا الحلو سواء كان قديما ",Positive,0.9071
والله الناس بتحكي وبتتأمر بتلاقي الشب يحكي ,Negative,0.8007
و الاصل يقوم هدا الحب على قاعدة الزواج ، ,Positive,0.9006
هدول لازم ننظرلهم نظرة اكبار لأنهم إخوة إلنا جار الزمن عليهم ولازم نجيرهم . ,Positive,0.596
يعني من زمان بدي أتغزل برائحة بيروت ، ,Positive,1
شو هاد كلو أخي هادي يعني كتير معذب حالك دخلك من شو بتشكي البسكليتي ,Negative,0.5524
"أنا اللي بشوفه أنو معظم الشباب اللي عميجو على الخليج مو راغبين بهالشيء ",Negative,0.7019
بحب قول للسيد الحسين حاول شي مرة تطلع عالعالم الطفرانة من تحت مو من فوق ... ,Negative,0.8192
بصراحة .. لا تعليق لدي .. ,Negative,0.6952
"ان شاء الله ربي تكون الضروف تحسنت الي الافضل ",Positive,0.9005
وانصحيهالما تحتاج نصيحة ,Positive,0.7214
و كونوا مذكور بجريدة ما بيعني انو صحيح و خصوصي انو غير واقعي ابدا ,Negative,0.8174
وكل ما اسأل مختصين يقولولي مو سمعانين فيها ,Negative,0.9081
بس التنبيه لحتى تنتبه أكتر المرة الجاية الظاهر انه الرقص مع الذئاب كتير عم يأثر عليك ... ,Negative,0.8122
و الله يجعل كل ايامك فرح و سعادة و نجاح كمان ,Positive,1
